state,date,ML,Low_90,High_90,Low_50,High_50
AN,2020-06-10 02:30:00+00:00,0.0,0.0,10.81,0.0,6.01
AN,2020-06-11 02:30:00+00:00,0.48,0.0,8.73,0.05,4.07
AN,2020-06-12 02:30:00+00:00,0.56,0.0,7.11,0.1,3.2800000000000002
AN,2020-06-13 02:30:00+00:00,0.61,0.0,6.16,0.12,2.86
AN,2020-06-14 02:30:00+00:00,0.65,0.0,5.55,0.18,2.64
AN,2020-06-15 02:30:00+00:00,0.6900000000000001,0.0,5.12,0.16,2.43
AN,2020-06-16 02:30:00+00:00,0.71,0.0,4.8,0.13,2.2600000000000002
AN,2020-06-17 02:30:00+00:00,0.73,0.0,4.55,0.2,2.21
AN,2020-06-18 02:30:00+00:00,0.74,0.0,4.34,0.19,2.11
AN,2020-06-19 02:30:00+00:00,0.75,0.0,4.18,0.16,2.0100000000000002
AN,2020-06-20 02:30:00+00:00,0.76,0.0,4.03,0.25,2.0300000000000002
AN,2020-06-21 02:30:00+00:00,0.77,0.0,3.91,0.2,1.93
AN,2020-06-22 02:30:00+00:00,0.77,0.0,3.81,0.16,1.85
AN,2020-06-23 02:30:00+00:00,1.28,0.0,4.07,0.33,2.2
AN,2020-06-24 02:30:00+00:00,1.78,0.0,4.16,0.67,2.61
AN,2020-06-25 02:30:00+00:00,2.05,0.03,4.14,0.96,2.86
AN,2020-06-26 02:30:00+00:00,2.16,0.17,4.12,1.1400000000000001,2.94
AN,2020-06-27 02:30:00+00:00,2.18,0.19,3.95,1.27,2.95
AN,2020-06-28 02:30:00+00:00,1.93,0.12,3.5500000000000003,1.0,2.5500000000000003
AN,2020-06-29 02:30:00+00:00,1.95,0.19,3.5,1.1500000000000001,2.62
AN,2020-06-30 02:30:00+00:00,1.77,0.16,3.24,1.03,2.41
AN,2020-07-01 02:30:00+00:00,1.6300000000000001,0.1,3.0100000000000002,0.84,2.16
AN,2020-07-02 02:30:00+00:00,1.52,0.05,2.83,0.73,2.0
AN,2020-07-03 02:30:00+00:00,1.42,0.04,2.71,0.64,1.87
AN,2020-07-04 02:30:00+00:00,1.34,0.03,2.61,0.61,1.8
AP,2020-03-30 16:00:00+00:00,0.0,0.0,10.81,0.0,6.01
AP,2020-03-31 15:00:00+00:00,2.84,0.15,5.25,1.54,3.88
AP,2020-04-01 03:30:00+00:00,1.84,0.02,3.56,0.92,2.56
AP,2020-04-01 14:00:00+00:00,1.9000000000000001,0.2,3.39,1.04,2.47
AP,2020-04-02 03:30:00+00:00,1.46,0.05,2.74,0.68,1.9100000000000001
AP,2020-04-02 12:30:00+00:00,1.32,0.08,2.5500000000000003,0.62,1.75
AP,2020-04-03 03:30:00+00:00,1.23,0.04,2.37,0.62,1.68
AP,2020-04-03 12:30:00+00:00,1.26,0.06,2.36,0.62,1.6600000000000001
AP,2020-04-04 03:30:00+00:00,1.08,0.0,2.14,0.48,1.46
AP,2020-04-04 12:30:00+00:00,1.1400000000000001,0.03,2.18,0.63,1.6
AP,2020-04-05 03:30:00+00:00,0.99,0.0,2.0300000000000002,0.43,1.36
AP,2020-04-05 12:30:00+00:00,1.33,0.16,2.38,0.76,1.74
AP,2020-04-06 03:30:00+00:00,1.33,0.18,2.36,0.74,1.7
AP,2020-04-06 12:30:00+00:00,1.4000000000000001,0.22,2.4,0.86,1.8
AP,2020-04-07 03:30:00+00:00,1.3,0.17,2.27,0.8200000000000001,1.73
AP,2020-04-07 12:30:00+00:00,1.23,0.12,2.16,0.66,1.56
AP,2020-04-08 02:30:00+00:00,1.02,0.03,1.93,0.5,1.36
AP,2020-04-08 11:30:00+00:00,0.9,0.0,1.83,0.38,1.22
AP,2020-04-09 02:30:00+00:00,0.64,0.0,1.6600000000000001,0.19,0.96
AP,2020-04-09 11:30:00+00:00,0.53,0.0,1.58,0.14,0.86
AP,2020-04-10 02:30:00+00:00,0.43,0.0,1.46,0.06,0.71
AP,2020-04-10 11:30:00+00:00,0.44,0.0,1.47,0.07,0.72
AP,2020-04-11 02:30:00+00:00,0.37,0.0,1.37,0.06,0.65
